Location,Date,Mean Temp (°C),Conductivity,Total Precip (mm),Turbidity,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h),Label_Anomaly,Label_Proxy,Predicted_Risk_Score,Risk_Level
Pockwock,2003-12-02,-1.744248994644465,-0.4603375868133391,0.1628147999914823,-1.5418925454236834,-0.8328895298235754,0.1763890945970527,0.4821446703086102,0,0,0.001292621716170573,Low
Shelburne,2003-12-02,-1.5445586800476618,-1.515378633044403,0.5087897080238323,-1.3766011342862563,-0.4635442819088265,-0.0372752653932846,-0.5146204381467161,0,0,0.001292621716170573,Low
Shelburne,2003-12-03,-2.607081203420513,-1.7782653607982135,0.3792366901156007,-1.4410772244597028,-0.5224617353121613,0.1159838877265249,-0.9329832939558752,0,0,0.001292621716170573,Low
Pockwock,2003-12-03,-2.3328652076963508,-0.5802648379893627,0.2619085796079657,-1.8590226580308105,-0.7403374633801223,0.279625550914464,0.3090110144358343,0,0,0.001292621716170573,Low
Margaree,2003-12-03,-3.0899254678437864,3.30897676001616,2.181926151330139,0.730703745358575,2.368589862078418,0.6551497089916907,0.7900895245393693,0,1,0.6966924238779503,Moderate
Margaree,2003-12-04,-3.1106512801552424,2.0393177745925386,-0.2966532272628536,-0.080433536794488,3.0610385825159283,0.5647117228416684,1.8863922191763804,1,1,0.8064691883224813,High
Shelburne,2003-12-04,-3.317354799832096,-1.7701064889264069,0.0694969528147055,-0.1243584293697229,-0.3783114756463997,0.2594365041501596,-0.9700462126263156,0,0,0.001292621716170573,Low
Pockwock,2003-12-04,-2.551053613942777,-0.5968231506770746,0.1945281598106225,-1.7989222634704942,-0.8521509297163948,0.3213050018996992,0.2413096215160055,0,0,0.001292621716170573,Low
Pockwock,2003-12-05,-2.3835435967650964,-0.5782557047383959,0.2194879852746154,-1.887936316648898,-0.8543108828109042,0.2828545985795155,0.2538775136821162,0,0,0.001292621716170573,Low
Margaree,2003-12-05,-3.0361518520730986,1.6327102306709695,-1.0353720099192496,-0.9828297839233078,0.4801265297998385,0.431661319046089,0.9575051872994752,0,1,0.001374694551992668,Low
Shelburne,2003-12-05,-2.6993335004153667,-1.6605677907661538,0.4926451690197387,-1.4647671384230991,-0.4701986299630619,0.129526561704444,-1.037412107850099,0,0,0.0016674125600704304,Low
Margaree,2003-12-06,-3.816415189601912,1.69561569117843,-1.540459045039567,0.2200636702623185,0.3235659060839338,0.653057531617415,1.0933816591869847,0,1,0.001644899543900009,Low
Pockwock,2003-12-06,-2.2976800001141644,0.5098708376395634,2.323609364359997,-1.3408673714425372,0.9690309173104305,0.4319956640497366,0.598860205027331,0,1,0.010497383261006148,Low
Shelburne,2003-12-06,-2.565653371540712,-1.4424443340921844,0.8580427077360046,-1.3081876884109898,-0.2514163595951008,0.0979820671517928,-1.1692381968015224,0,0,0.0016674125600704304,Low
Pockwock,2003-12-07,-1.7738087258646194,0.2128845571006975,1.3406537703256027,-0.5585717804437935,0.4598193717287263,0.1992658669689023,0.3581044386654214,0,0,0.001292621716170573,Low
Shelburne,2003-12-07,-2.183729503630117,-1.4276570033261582,1.029013106661829,-0.7447831671341784,1.4572741633169433,-0.0193275633508788,-0.8020817427365743,0,0,0.003565414384330099,Low
Margaree,2003-12-07,-1.729527425571333,2.9831820612557585,0.2384555746813597,0.0482690286802428,-0.0341972565028726,0.0402573987827013,-0.3261697024827966,0,0,0.004274956544507306,Low
Margaree,2003-12-08,-1.3066293660201134,4.746196258315719,2.053018210082701,-0.3988058311947703,-1.3647857505312333,0.3784865173770724,0.5390494564908791,0,1,0.02357282102676885,Low
Pockwock,2003-12-08,-2.106232504435499,-0.3153971033594926,0.2299846014478176,0.1185418792227326,0.8251132062086349,0.2421938760871143,0.7908070691207215,0,0,0.003441352764904259,Low
Shelburne,2003-12-08,-2.4779903330269244,-1.2460530477962646,0.1727121283951941,0.841647429032311,-0.0363955232387875,0.1879942215775131,-0.4365160533422632,0,0,0.001292621716170573,Low
Shelburne,2003-12-09,-1.836072039531969,-1.3936331009931544,0.396417381477165,-1.1464548841322273,-0.205267972074806,0.0047649449943639,-0.5990235315625929,0,0,0.001292621716170573,Low
